repo_name,files_num1,files_num2,matched_files,pkgs_num1,pkgs_num2,matched_pkgs,doc_name,originator_score_r,supplier_score_r,copyright_score_r,version_score_r,PVC_score_r,cpe_score_r,purl_score_r,dL_score_r,licenseC_score_r,licenseD_score_r,originator_score,supplier_score,copyright_score,version_score,PVC_score,cpe_score,purl_score,dL_score,licenseC_score,licenseD_score,checksum_score
nginx-http-flv-module,0,0,0,1,1,1,0.4749999999999999,0.0,0.0,0.0,0.3111111111111111,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
msysgit,0,0,0,1,1,1,0.393939393939394,0.0,0.0,0.0,0.4166666666666667,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rune,0,0,0,1,1,1,0.47222222222222215,0.0,0.0,0.0,0.390079365079365,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rt-thread,0,0,0,2,1,1,0.4736721611721612,0.0,0.0,0.0,0.39444444444444443,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OpenBLAS,0,0,0,1,1,1,0.3736111111111111,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nmap,0,0,0,38,1,1,0.5277777777777778,0.0,0.0,0.0,0.5011904761904762,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dummy-Robot,0,0,0,1,1,1,0.35833333333333334,0.0,0.0,0,0.31865079365079363,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pianobar,0,0,0,1,1,1,0.44027777777777777,0.0,0.0,0.0,0.3381313131313131,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simplewall,9,137,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpulimit,0,0,0,1,1,1,0.375,0.0,0.0,0.0,0.371969696969697,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctypes.sh,0,0,0,1,1,1,0.36826923076923074,0.0,0.0,0.0,0.29444444444444445,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UEFITool,0,0,0,1,1,1,0.3263888888888889,0.0,0.0,0.0,0.371969696969697,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhook,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jsmn,0,0,0,1,1,1,0.4083333333333334,0.0,0.0,0.0,0.3892857142857143,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
git,0,0,0,1,1,1,0.37797619047619047,0.0,0.0,0.0,0.3972222222222222,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDD-LinuxDeviceDrivers,0,0,0,1,1,1,0.42880036630036633,0.0,0.0,0.0,0.25333333333333335,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuttx,264,21130,0,39,19,14,0.46342592592592596,0.0,0.0,0.0,0.43333333333333335,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
OpenCorePkg,0,0,0,1,1,1,0.4138888888888889,0.0,0.0,0.0,0.31865079365079363,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allegro5,0,0,0,4,1,1,0.44027777777777777,0.0,0.0,0.0,0.3381313131313131,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
libevent,0,0,0,1,1,1,0.4305555555555555,0.0,0.0,0.0,0.3381313131313131,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VeraCrypt,0,0,0,20,1,1,0.36826923076923074,0.0,0.0,0.0,0.3381313131313131,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kcat,364,91,9,4,2,1,0.5,0.0,0.0,0.0,0.47380952380952374,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
UACME,0,0,0,6,1,1,0.41203703703703703,0.0,0.0,0.0,0.43333333333333335,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clumsy,0,0,0,1,1,1,0.3875,0.0,0.0,0.0,0.42407407407407405,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rnnoise,0,0,0,1,1,1,0.4899891774891774,0.0,0.0,0.0,0.375,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arcore-android-sdk,0,0,0,41,1,1,0.5174242424242425,0.0,0.0,0.0,0.4075396825396826,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opus,0,0,0,6,1,1,0.4583333333333333,0.0,0.0,0.0,0.2785714285714285,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curl,1554,3877,0,66,14,5,0.4583333333333333,0.0,0.0,0.0,0.5011904761904762,0,0,0.0,0,0,0,0.0,0.0,0.0,0.7540697674418604,0.0,0.0,0.9553571428571428,0.0,0.0,0.0,0.0
open62541,0,0,0,1,1,1,0.42414529914529914,0.0,0.0,0.0,0.44722222222222224,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDMI-PI,0,0,0,1,1,1,0.3693181818181818,0.0,0.0,0.0,0.375,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zimg,0,0,0,1,1,1,0.4583333333333333,0.0,0.0,0.0,0.2785714285714285,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pcileech,0,0,0,5,1,1,0.3055555555555555,0.0,0.0,0.0,0.3381313131313131,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lk,0,0,0,2,1,1,0.3819444444444444,0.0,0.0,0.0,0.48333333333333334,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kilo,0,0,0,1,1,1,0.25,0.0,0.0,0.0,0.4452380952380952,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vlc,0,0,0,1,1,1,0.4226190476190476,0.0,0.0,0.0,0.4472222222222222,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corange,0,0,0,1,1,1,0.4899891774891774,0.0,0.0,0.0,0.34722222222222215,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shadowsocksr-native,0,0,0,4,1,1,0.4474637681159421,0.0,0.0,0.0,0.31742424242424244,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Watchy,0,0,0,1,1,1,0.39999999999999997,0.0,0.0,0.0,0.5148148148148147,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
