repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
captcha-killer-modified,0,0.0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0
jeewx-boot,0,0.0,42,8,4,0.0,1.0,0.9745762711864407,0.0,0.0,0.75
uid-generator,0,0.0,17,1,0,0.0,0.0,0.0,0.0,0.0,0.0
codelibrary,0,0.0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
farebot,0,0.0,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0
heritrix3,0,0.0,189,6,3,0.0,1.0,1.0,0.0,0.0,1.0
connectivity-samples,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AsciidocFX,0,0.0,58,1,0,0.0,0.0,0.0,0.0,0.0,0.0
hackernews-App-powered-by-Apache-Weex,0,0.0,14,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Just-Another-Android-App,0,0.0,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0
java-core-learning-example,0,0.0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0
rtree,0,0.0,24,1,0,0.0,0.0,0.0,0.0,0.0,0.0
hbc,0,0.0,23,4,2,0.0,1.0,1.0,0.0,0.0,1.0
rabbitmq-java-client,0,0.0,46,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Ant-Media-Server,0,0.0,74,1,0,0.0,0.0,0.0,0.0,0.0,0.0
android-cube-app,0,0.0,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0
jianshi,0,0.0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
retrolambda,0,0.0,29,6,3,0.0,1.0,1.0,0.0,0.0,1.0
Signal-Android,0,0.0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MGit,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Spring-Boot-Shiro,0,0.0,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0
exhibitor,0,0.0,50,5,2,0.0,1.0,0.7840909090909092,0.0,0.0,0.36428571428571427
springmvc-mybatis-learning,0,0.0,19,3,0,0.0,0.0,0.0,0.0,0.0,0.0
reactive-streams-jvm,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sqlite-android,0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
jjwt,0,0.0,57,8,6,0.0,1.0,0.7837390672855293,0.0,0.0,0.8277777777777776
youlai-mall,0,0.0,107,30,14,0.0,1.0,0.9031005172132291,0.0,0.0,0.7857142857142856
react-native-sqlite-storage,0,0.0,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Slide,0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Pantheon,0,0.0,30,11,1,0.0,1.0,1.0,0.0,0.0,1.0
poi,0,0.0,19,1,0,0.0,0.0,0.0,0.0,0.0,0.0
zhihu-crawler,0,0.0,27,4,2,0.0,1.0,1.0,0.0,0.0,1.0
link-bubble,0,0.0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0
parseq,0,0.0,390,1,0,0.0,0.0,0.0,0.0,0.0,0.0
usergrid,0,0.0,546,48,19,0.0,1.0,0.8915033003177515,0.0,0.05263157894736842,0.8894736842105262
spring-cloud-rest-tcc,0,0.0,88,10,4,0.0,1.0,1.0,0.0,0.0,1.0
HTTPDNSLib,0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
phonegap-plugin-push,0,0.0,12,2,0,0.0,0.0,0.0,0.0,0.0,0.0
RapidView,0,0.0,265,2,0,0.0,0.0,0.0,0.0,0.0,0.0
marshalsec,0,0.0,33,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Elephant,0,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0
mica,0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
jobrunr,0,0.0,552,2,1,0.0,1.0,0.09090909090909091,0.0,0.0,0.97
cobar,0,0.0,32,3,0,0.0,0.0,0.0,0.0,0.0,0.0
flogger,0,0.0,4,19,0,0.0,0.0,0.0,0.0,0.0,0.0
cassandra,0,0.0,5,7,0,0.0,0.0,0.0,0.0,0.0,0.0
FakeSMTP,0,0.0,14,1,0,0.0,0.0,0.0,0.0,0.0,0.0
pdfbox,0,0.0,46,12,2,0.0,1.0,1.0,0.0,0.0,1.0
SpringBootBucket,0,0.0,65,25,0,0.0,0.0,0.0,0.0,0.0,0.0
gulimall-learning,0,0.0,92,16,1,0.0,1.0,1.0,0.0,0.0,1.0
android-auto-scroll-view-pager,0,0.0,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Java-Chronicle,0,0.0,17,7,1,0.0,1.0,1.0,0.0,0.0,1.0
StickyGridHeaders,0,0.0,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0
kilim,0,0.0,9,12,1,0.0,1.0,1.0,0.0,0.0,1.0
RedisClient,0,0.0,7,1,0,0.0,0.0,0.0,0.0,0.0,0.0
syncthing-android,0,0.0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0
spring-data-book,0,0.0,149,25,0,0.0,0.0,0.0,0.0,0.0,0.0
GeometricWeather,0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
springdoc-openapi,0,0.0,83,17,5,0.0,1.0,0.8381858032977381,0.0,0.0,0.8333333333333333
