repo_name,repo_name_meta,repo_version,comp_num,comp_bench,matched_comps,author_score,license_score,version_score
gitosis,0,0.0,1,2,0,0.0,0.0,0.0
google-images-download,0,0.0,1,1,0,0.0,0.0,0.0
gradify,0,0.0,0,1,0,0.0,0.0,0.0
gxgk-wechat-server,0,0.0,1,21,0,0.0,0.0,0.0
hackingtool,0,0.0,0,4,0,0.0,0.0,0.0
handout,0,0.0,1,3,0,0.0,0.0,0.0
hashids-python,0,0.0,0,2,0,0.0,0.0,0.0
hayaku,0,0.0,0,2,0,0.0,0.0,0.0
huepy,0,0.0,1,4,0,0.0,0.0,0.0
hyperas,0,0.0,1,16,0,0.0,0.0,0.0
iOS-Universal-Framework,0,0.0,0,0,0,0.0,0.0,0.0
ibrute,0,0.0,0,2,0,0.0,0.0,0.0
iqhelp,0,0.0,0,69,0,0.0,0.0,0.0
jd-autobuy,0,0.0,0,2,0,0.0,0.0,0.0
jwt_tool,0,0.0,0,5,0,0.0,0.0,0.0
leapcast,0,0.0,0,4,0,0.0,0.0,0.0
lemongraph,0,0.0,1,9,0,0.0,0.0,0.0
logster,0,0.0,1,2,0,0.0,0.0,0.0
objc_dep,0,0.0,0,1,0,0.0,0.0,0.0
pew,0,0.0,1,6,0,0.0,0.0,0.0
pinject,0,0.0,1,6,0,0.0,0.0,0.0
pipreqs,0,0.0,1,3,0,0.0,0.0,0.0
pointer-generator,0,0.0,0,3,0,0.0,0.0,0.0
pretrained-models.pytorch,0,0.0,1,12,0,0.0,0.0,0.0
python-broadlink,0,0.0,1,2,0,0.0,0.0,0.0
python-elevator-challenge,0,0.0,0,0,0,0.0,0.0,0.0
python-recsys,0,0.0,1,8,0,0.0,0.0,0.0
python-scripts,0,0.0,0,12,0,0.0,0.0,0.0
python_koans,0,0.0,0,8,0,0.0,0.0,0.0
quandl-python,0,0.0,1,21,0,0.0,0.0,0.0
redis-rdb-tools,0,0.0,1,3,0,0.0,0.0,0.0
rockstar,0,0.0,1,3,0,0.0,0.0,0.0
samplemod,0,0.0,1,3,0,0.0,0.0,0.0
say_what,0,0.0,0,4,0,0.0,0.0,0.0
schedule,0,0.0,0,0,0,0.0,0.0,0.0
seamless_communication,0,0.0,1,19,0,0.0,0.0,0.0
skip-thoughts,0,0.0,0,9,0,0.0,0.0,0.0
sotawhat,0,0.0,1,4,0,0.0,0.0,0.0
speedtest-cli,0,0.0,1,1,0,0.0,0.0,0.0
sublime-jsdocs,0,0.0,0,1,0,0.0,0.0,0.0
tensorflow-vgg,0,0.0,0,3,0,0.0,0.0,0.0
tf-coreml,0,0.0,1,11,0,0.0,0.0,0.0
tinychain,0,0.0,0,5,0,0.0,0.0,0.0
trfl,0,0.0,1,6,0,0.0,0.0,0.0
uiautomator2,0,0.0,1,29,0,0.0,0.0,0.0
weibo_terminater,0,0.0,0,15,0,0.0,0.0,0.0
whereami,0,0.0,1,10,0,0.0,0.0,0.0
word2vec-api,0,0.0,0,5,0,0.0,0.0,0.0
xmltodict,0,0.0,1,2,0,0.0,0.0,0.0
youtube-8m,0,0.0,0,6,0,0.0,0.0,0.0
zzzzz,0,0.0,0,7,0,0.0,0.0,0.0
