repo_name,repo_name_meta,repo_version,comp_num,comp_bench,matched_comps,author_score,license_score,version_score
Awesome-AutoDL,0,0.0,1,1,0,0.0,0.0,0.0
BDFProxy,0,0.0,0,0,0,0.0,0.0,0.0
CloserLookFewShot,0,0.0,0,0,0,0.0,0.0,0.0
DXY-COVID-19-Crawler,0,0.0,0,0,0,0.0,0.0,0.0
DashDoc,0,0.0,0,0,0,0.0,0.0,0.0
Depix,0,0.0,0,0,0,0.0,0.0,0.0
Firefly,0,0.0,0,0,0,0.0,0.0,0.0
Flask-SocketIO,0,0.0,0,0,0,0.0,0.0,0.0
Flat-Lattice-Transformer,0,0.0,0,0,0,0.0,0.0,0.0
GetOldTweets-python,0,0.0,0,0,0,0.0,0.0,0.0
IbPy,0,0.0,0,0,0,0.0,0.0,0.0
Learning-to-See-in-the-Dark,0,0.0,0,0,0,0.0,0.0,0.0
ML-GCN,0,0.0,0,0,0,0.0,0.0,0.0
MicrocodeDecryptor,0,0.0,0,0,0,0.0,0.0,0.0
PythonCrawler,0,0.0,0,0,0,0.0,0.0,0.0
RepVGG,0,0.0,0,0,0,0.0,0.0,0.0
Swar-Chia-Plot-Manager,0,0.0,8,9,3,0.0,0.5555555555555555,1.0
Wav2Lip,0,0.0,0,0,0,0.0,0.0,0.0
acme-nosudo,0,0.0,0,0,0,0.0,0.0,0.0
acme-tiny,0,0.0,0,0,0,0.0,0.0,0.0
android-resource-remover,0,0.0,0,0,0,0.0,0.0,0.0
attention,0,0.0,0,0,0,0.0,0.0,0.0
audible-activator,0,0.0,16,2,2,0.0,0.47619047619047616,0.0
audiogrep,0,0.0,1,2,1,0.0,1.0,1.0
awesome-industrial-control-system-security,0,0.0,0,0,0,0.0,0.0,0.0
awesome-sentence-embedding,0,0.0,0,0,0,0.0,0.0,0.0
batch-ppo,0,0.0,0,0,0,0.0,0.0,0.0
biaxial-rnn-music-composition,0,0.0,0,0,0,0.0,0.0,0.0
binance-trade-bot,0,0.0,8,17,1,0.0,1.0,0.0
cnnimageretrieval-pytorch,0,0.0,0,0,0,0.0,0.0,0.0
d3py,0,0.0,0,0,0,0.0,0.0,0.0
data_hacks,0,0.0,0,0,0,0.0,0.0,0.0
defx.nvim,0,0.0,18,6,5,0.0,0.3738095238095238,0.0
django-devserver,0,0.0,0,0,0,0.0,0.0,0.0
django-socketio,0,0.0,0,0,0,0.0,0.0,0.0
dockerizing-django,0,0.0,5,2,2,0.0,0.4444444444444444,0.0
evillimiter,0,0.0,6,7,6,0.0,0.52008547008547,0.0
faceswap,0,0.0,0,0,0,0.0,0.0,0.0
fbs-tutorial,0,0.0,2,3,1,0.0,0.07142857142857142,0.0
flask-graphql,0,0.0,3,7,1,0.0,1.0,0.0
fuck12306,0,0.0,0,0,0,0.0,0.0,0.0
gain,0,0.0,0,0,0,0.0,0.0,0.0
gcForest,0,0.0,0,0,0,0.0,0.0,0.0
gitosis,0,0.0,1,2,1,0.0,0.13333333333333333,0.0
google-images-download,0,0.0,14,1,1,0.0,0.6666666666666666,0.0
gradify,0,0.0,0,0,0,0.0,0.0,0.0
hackingtool,0,0.0,14,4,4,0.0,0.3214285714285714,0.0
handout,0,0.0,0,0,0,0.0,0.0,0.0
hashids-python,0,0.0,0,0,0,0.0,0.0,0.0
hayaku,0,0.0,0,0,0,0.0,0.0,0.0
huepy,0,0.0,0,0,0,0.0,0.0,0.0
hyperas,0,0.0,0,0,0,0.0,0.0,0.0
iOS-Universal-Framework,0,0.0,0,0,0,0.0,0.0,0.0
ibrute,0,0.0,0,0,0,0.0,0.0,0.0
jd-autobuy,0,0.0,0,0,0,0.0,0.0,0.0
jwt_tool,0,0.0,8,5,4,0.0,0.5714285714285714,0.0
leapcast,0,0.0,7,4,3,0.0,0.273015873015873,0.0
logster,0,0.0,1,2,1,0.0,0.4,0.0
objc_dep,0,0.0,0,0,0,0.0,0.0,0.0
pew,0,0.0,0,0,0,0.0,0.0,0.0
pinject,0,0.0,0,0,0,0.0,0.0,0.0
pipreqs,0,0.0,8,3,3,0.0,0.5777777777777778,1.0
pointer-generator,0,0.0,0,0,0,0.0,0.0,0.0
python-broadlink,0,0.0,4,2,1,0.0,0.8,1.0
python-elevator-challenge,0,0.0,0,0,0,0.0,0.0,0.0
python-recsys,0,0.0,0,0,0,0.0,0.0,0.0
python-scripts,0,0.0,0,0,0,0.0,0.0,0.0
python_koans,0,0.0,0,0,0,0.0,0.0,0.0
quandl-python,0,0.0,0,0,0,0.0,0.0,0.0
redis-rdb-tools,0,0.0,2,3,1,0.0,1.0,0.0
samplemod,0,0.0,22,3,2,0.0,0.0,0.0
say_what,0,0.0,0,0,0,0.0,0.0,0.0
skip-thoughts,0,0.0,0,0,0,0.0,0.0,0.0
sotawhat,0,0.0,7,4,3,0.0,0.5,0.0
speedtest-cli,0,0.0,0,0,0,0.0,0.0,0.0
sublime-jsdocs,0,0.0,0,0,0,0.0,0.0,0.0
tensorflow-vgg,0,0.0,0,0,0,0.0,0.0,0.0
tf-coreml,0,0.0,0,0,0,0.0,0.0,0.0
tinychain,0,0.0,8,5,5,0.0,0.7,1.0
trfl,0,0.0,5,6,2,0.0,0.3337909094870789,0.0
weibo_terminater,0,0.0,0,0,0,0.0,0.0,0.0
xmltodict,0,0.0,0,0,0,0.0,0.0,0.0
youtube-8m,0,0.0,0,0,0,0.0,0.0,0.0
zzzzz,0,0.0,0,0,0,0.0,0.0,0.0
